,Customer.ID,Customer.Name,Market,Market2
0,LS-172304,Lycoris Saunders,US,North America
1,MV-174854,Mark Van Huff,US,North America
2,CS-121304,Chad Sievert,US,North America
3,CS-121304,Chad Sievert,US,North America
4,AP-109154,Arthur Prichep,US,North America
5,JF-154904,Jeremy Farry,US,North America
6,WB-218504,William Brown,US,North America
7,JA-159704,Joseph Airdo,US,North America
8,SP-209204,Susan Pistek,US,North America
9,RL-196154,Rob Lucas,US,North America
10,KD-163454,Katherine Ducich,US,North America
11,JM-161954,Justin MacKendrick,US,North America
12,JM-161954,Justin MacKendrick,US,North America
13,RD-195854,Rob Dowd,US,North America
14,AB-101654,Alan Barnes,US,North America
15,AR-105404,Andy Reiter,US,North America
16,LH-171554,Logan Haushalter,US,North America
17,AR-105104,Andrew Roberts,US,North America
18,NG-184304,Nathan Gelder,US,North America
19,NG-184304,Nathan Gelder,US,North America
20,DP-130004,Darren Powers,US,North America
21,TS-213404,Toby Swindell,US,North America
22,KM-167204,Kunst Miller,US,North America
23,AI-108554,Arianne Irving,US,North America
24,CL-125654,Clay Ludtke,US,North America
25,SW-202454,Scot Wooten,US,North America
26,CC-122204,Chris Cortes,US,North America
27,LC-171404,Logan Currie,US,North America
28,LC-171404,Logan Currie,US,North America
29,JF-152954,Jason Fortune-,US,North America
30,JO-152804,Jas O'Carroll,US,North America
31,TB-216254,Trudy Brown,US,North America
32,TT-210704,Ted Trevino,US,North America
33,DO-134354,Denny Ordway,US,North America
34,LS-172454,Lynn Smith,US,North America
35,CL-125654,Clay Ludtke,US,North America
36,OT-187304,Olvera Toch,US,North America
37,BD-113204,Bill Donatelli,US,North America
38,MV-181904,Mike Vittorini,US,North America
39,GT-147554,Guy Thornton,US,North America
40,CC-123704,Christopher Conant,US,North America
41,JM-155804,Jill Matthias,US,North America
42,BD-113204,Bill Donatelli,US,North America
43,PS-187604,Pamela Stobb,US,North America
44,CC-124754,Cindy Chapman,US,North America
